time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-15 00:00:00+00:00,4.0,3.0,12,2
2025-12-16 00:00:00+00:00,,,14,1
2025-12-17 00:00:00+00:00,,,7,1
2025-12-18 00:00:00+00:00,53.0,47.0,135,4
2025-12-19 00:00:00+00:00,36.0,28.0,175,2
