time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-06 00:00:00+00:00,25,10,0,0
2026-02-07 00:00:00+00:00,14,9,0,0
2026-02-08 00:00:00+00:00,15,8,0,0
2026-02-09 00:00:00+00:00,19,8,1,1
2026-02-10 00:00:00+00:00,14,7,0,0
2026-02-11 00:00:00+00:00,16,5,0,0
2026-02-12 00:00:00+00:00,14,7,0,0
2026-02-13 00:00:00+00:00,11,4,1,1
2026-02-14 00:00:00+00:00,18,7,0,0
2026-02-15 00:00:00+00:00,23,8,1,1
2026-02-16 00:00:00+00:00,23,8,0,0
2026-02-17 00:00:00+00:00,17,6,0,0
2026-02-18 00:00:00+00:00,11,4,0,0
2026-02-19 00:00:00+00:00,11,4,0,0
